League Id,Date,Home,Score Home,Away,Score Away,Type,Played,Overtime,Shootout,Game Id
0,2003-11-20,25,3,10,2,Regular Season,1,1,0,274
0,2003-11-21,30,1,32,6,Regular Season,1,0,0,283
0,2003-11-21,21,3,15,2,Regular Season,1,0,0,284
0,2003-11-21,26,4,27,1,Regular Season,1,0,0,285
0,2003-11-21,17,4,24,1,Regular Season,1,0,0,280
0,2003-11-21,31,1,33,3,Regular Season,1,0,0,282
0,2003-11-21,12,1,11,1,Regular Season,1,1,0,281
0,2003-11-22,16,4,12,0,Regular Season,1,0,0,294
0,2003-11-22,27,2,32,1,Regular Season,1,0,0,293
0,2003-11-22,29,2,17,2,Regular Season,1,1,0,295
0,2003-11-22,22,4,31,1,Regular Season,1,0,0,297
0,2003-11-22,18,8,3,3,Regular Season,1,0,0,296
0,2003-11-22,15,2,28,0,Regular Season,1,0,0,292
0,2003-11-22,19,2,8,2,Regular Season,1,1,0,287
0,2003-11-22,25,4,11,2,Regular Season,1,0,0,288
0,2003-11-22,34,2,20,1,Regular Season,1,0,0,286
0,2003-11-22,14,3,5,5,Regular Season,1,0,0,291
0,2003-11-22,23,5,0,2,Regular Season,1,0,0,289
0,2003-11-22,35,3,9,1,Regular Season,1,0,0,290
0,2003-11-23,24,1,29,3,Regular Season,1,0,0,299
0,2003-11-23,10,1,28,1,Regular Season,1,1,0,300
0,2003-11-23,33,8,26,2,Regular Season,1,0,0,298
0,2003-11-24,3,3,18,4,Regular Season,1,1,0,305
0,2003-11-24,31,3,17,4,Regular Season,1,0,0,304
0,2003-11-24,9,3,22,1,Regular Season,1,0,0,303
0,2003-11-24,12,3,26,2,Regular Season,1,0,0,302
0,2003-11-24,25,2,32,2,Regular Season,1,1,0,301
0,2003-11-25,29,1,10,2,Regular Season,1,0,0,311
0,2003-11-25,16,1,5,2,Regular Season,1,0,0,310
0,2003-11-25,0,4,18,2,Regular Season,1,0,0,309
0,2003-11-25,34,2,23,1,Regular Season,1,0,0,307
0,2003-11-25,33,6,28,2,Regular Season,1,0,0,306
0,2003-11-25,11,3,21,2,Regular Season,1,0,0,308
0,2003-11-26,9,5,23,2,Regular Season,1,0,0,313
0,2003-11-26,17,3,22,2,Regular Season,1,0,0,312
0,2003-11-26,31,3,10,1,Regular Season,1,0,0,314
0,2003-11-26,30,2,21,4,Regular Season,1,0,0,315
0,2003-11-26,27,1,8,3,Regular Season,1,0,0,320
0,2003-11-26,20,4,24,1,Regular Season,1,0,0,318
0,2003-11-26,15,1,14,4,Regular Season,1,0,0,319
0,2003-11-26,32,4,34,2,Regular Season,1,0,0,317
0,2003-11-26,35,2,12,1,Regular Season,1,0,0,316
0,2003-11-27,26,3,11,4,Regular Season,1,0,0,324
0,2003-11-27,28,4,18,2,Regular Season,1,0,0,323
0,2003-11-27,19,3,25,0,Regular Season,1,0,0,322
0,2003-11-27,33,4,3,2,Regular Season,1,0,0,321
0,2003-11-28,14,4,24,2,Regular Season,1,0,0,332
0,2003-11-28,15,1,10,2,Regular Season,1,0,0,333
0,2003-11-28,29,3,16,4,Regular Season,1,1,0,334
0,2003-11-28,22,4,0,3,Regular Season,1,0,0,335
